平台名称,商品标题,品牌,价格,原价,销量,店铺名称,是否官方旗舰店,商品链接
抖音,Apple手机A0(麒麟9000),Apple,3839.9,6319.0,3960,Apple官方旗舰店,1,https://www.douyin.com/product/9000000
抖音,谷歌手机P-1001(Exynos2400),谷歌,3732.4,4839.0,6602,谷歌京东自营旗舰店,0,https://www.douyin.com/product/9000001
抖音,Apple手机C2(骁龙8Gen2),Apple,4998.6,9699.0,7774,Apple产品京东自营旗舰店,0,https://www.douyin.com/product/9000002
抖音,ROG银色Series 42024款手机,ROG,3520.3,5089.0,2560,ROG手机专卖店,0,https://www.douyin.com/product/9000003
抖音,魅族手机P-1004SE,魅族,2425.5,4129.0,10493,魅族官方旗舰店,1,https://www.douyin.com/product/9000004
抖音,谷歌手机PH-1005,谷歌,3609.0,5389.0,3697,谷歌手机专卖店,1,https://www.douyin.com/product/9000005
抖音,华为黑色PH-1006手机,华为,2546.6,4899.0,1346,华为手机专卖店,0,https://www.douyin.com/product/9000006
抖音,魅族手机PH-1007快充版(A17Pro),魅族,2992.2,5519.0,494,魅族官方旗舰店,1,https://www.douyin.com/product/9000007
抖音,谷歌手机PH-1008256GB,谷歌,3092.8,3689.0,6920,谷歌京东自营旗舰店,1,https://www.douyin.com/product/9000008
抖音,Realme手机Series 102025款,Realme,1316.4,2419.0,15077,Realme京东自营旗舰店,1,https://www.douyin.com/product/9000009
抖音,中兴白色K10手机,中兴,2860.7,5119.0,7248,中兴京东自营旗舰店,1,https://www.douyin.com/product/9000010
抖音,联想黑色P-1011手机,联想,1871.1,2139.0,908,联想京东自营旗舰店,0,https://www.douyin.com/product/9000011
抖音,iQOO快充 手机PH-1012(128GB),iQOO,2210.3,4139.0,2359,iQOO手机专卖店,0,https://www.douyin.com/product/9000012
抖音,中兴手机Series 14,中兴,2587.2,5119.0,1480,中兴官方旗舰店,1,https://www.douyin.com/product/9000013
抖音,努比亚折叠屏 手机P-1014X,努比亚,2740.6,4899.0,7899,努比亚手机专卖店,0,https://www.douyin.com/product/9000014
抖音,ROG手机P15(Exynos2400),ROG,4337.9,6559.0,9701,ROG京东自营旗舰店,0,https://www.douyin.com/product/9000015
抖音,Apple手机PH-1016(TensorG3),Apple,2731.3,4659.0,10565,Apple官方旗舰店,1,https://www.douyin.com/product/9000016
抖音,vivo手机PH-1017(天玑9200),vivo,3043.2,4349.0,8344,vivo手机专卖店,0,https://www.douyin.com/product/9000017
抖音,Nothing手机Series 191024GB,Nothing,3080.2,4379.0,5468,Nothing京东自营旗舰店,1,https://www.douyin.com/product/9000018
抖音,ROG手机P-1019快充版(Exynos2400),ROG,5153.1,9099.0,3520,ROG手机专卖店,0,https://www.douyin.com/product/9000019
抖音,iQOO银色Series 1SE手机,iQOO,2164.8,3289.0,716,iQOO京东自营旗舰店,0,https://www.douyin.com/product/9000020
抖音,中兴银色PH-1021Plus手机,中兴,2301.5,3189.0,3523,中兴手机专卖店,0,https://www.douyin.com/product/9000021
抖音,vivo手机W22,vivo,2751.9,3299.0,3109,vivo手机专卖店,1,https://www.douyin.com/product/9000022
抖音,红米5G 手机PH-1023SE,红米,954.1,1709.0,15394,红米官方旗舰店,1,https://www.douyin.com/product/9000023
抖音,iQOO手机Series 5,iQOO,1981.6,2919.0,4403,iQOO手机专卖店,1,https://www.douyin.com/product/9000024
抖音,三星手机Series 61024GB,三星,1115.3,1689.0,8080,三星手机专营店,1,https://www.douyin.com/product/9000025
抖音,努比亚手机Series 7(A16),努比亚,2508.7,3229.0,9206,努比亚京东自营旗舰店,0,https://www.douyin.com/product/9000026
抖音,华为手机PH-1027,华为,5598.0,7609.0,1062,华为手机专卖店,0,https://www.douyin.com/product/9000027
抖音,谷歌手机P-1028(麒麟9000),谷歌,4444.0,6099.0,5091,谷歌官方旗舰店,1,https://www.douyin.com/product/9000028
抖音,谷歌256GB手机D29,谷歌,2225.4,3859.0,9262,谷歌手机专卖店,0,https://www.douyin.com/product/9000029
抖音,联想手机E30S,联想,786.8,1199.0,11992,联想手机专卖店,0,https://www.douyin.com/product/9000030
