平台名称,商品标题,品牌,价格,原价,销量,店铺名称,是否官方旗舰店,商品链接
抖音,Apple手机A0(麒麟9000),Apple,3839.9,6319,3960,Apple官方旗舰店,1,https://www.douyin.com/product/9000000
抖音,谷歌手机P-1001(Exynos2400),谷歌,3732.4,4839,6602,谷歌京东自营旗舰店,0,https://www.douyin.com/product/9000001
抖音,Apple手机C2(骁龙8Gen2),Apple,4998.6,9699,7774,Apple产品京东自营旗舰店,0,https://www.douyin.com/product/9000002
抖音,ROG银色Series 42024款手机,ROG,3520.3,5089,2560,ROG手机专卖店,0,https://www.douyin.com/product/9000003
抖音,魅族手机P-1004SE,魅族,2425.5,4129,10493,魅族官方旗舰店,1,https://www.douyin.com/product/9000004
抖音,谷歌手机PH-1005,谷歌,3609.0,5389,3697,谷歌手机专卖店,1,https://www.douyin.com/product/9000005
抖音,华为黑色PH-1006手机,华为,2546.6,4899,1346,华为手机专卖店,0,https://www.douyin.com/product/9000006
抖音,魅族手机PH-1007快充版(A17Pro),魅族,2992.2,5519,494,魅族官方旗舰店,1,https://www.douyin.com/product/9000007
抖音,谷歌手机PH-1008256GB,谷歌,3092.8,3689,6920,谷歌京东自营旗舰店,1,https://www.douyin.com/product/9000008
抖音,Realme手机Series 102025款,Realme,1316.4,2419,15077,Realme京东自营旗舰店,1,https://www.douyin.com/product/9000009
抖音,中兴白色K10手机,中兴,2860.7,5119,7248,中兴京东自营旗舰店,1,https://www.douyin.com/product/9000010
抖音,联想黑色P-1011手机,联想,1871.1,2139,908,联想京东自营旗舰店,0,https://www.douyin.com/product/9000011
抖音,iQOO快充 手机PH-1012(128GB),iQOO,2210.3,4139,2359,iQOO手机专卖店,0,https://www.douyin.com/product/9000012
抖音,中兴手机Series 14,中兴,2587.2,5119,1480,中兴官方旗舰店,1,https://www.douyin.com/product/9000013
抖音,努比亚折叠屏 手机P-1014X,努比亚,2740.6,4899,7899,努比亚手机专卖店,0,https://www.douyin.com/product/9000014
抖音,ROG手机P15(Exynos2400),ROG,4337.9,6559,9701,ROG京东自营旗舰店,0,https://www.douyin.com/product/9000015
抖音,Apple手机PH-1016(TensorG3),Apple,2731.3,4659,10565,Apple官方旗舰店,1,https://www.douyin.com/product/9000016
抖音,vivo手机PH-1017(天玑9200),vivo,3043.2,4349,8344,vivo手机专卖店,0,https://www.douyin.com/product/9000017
抖音,Nothing手机Series 191024GB,Nothing,3080.2,4379,5468,Nothing京东自营旗舰店,1,https://www.douyin.com/product/9000018
抖音,ROG手机P-1019快充版(Exynos2400),ROG,5153.1,9099,3520,ROG手机专卖店,0,https://www.douyin.com/product/9000019
抖音,iQOO银色Series 1SE手机,iQOO,2164.8,3289,716,iQOO京东自营旗舰店,0,https://www.douyin.com/product/9000020
抖音,中兴银色PH-1021Plus手机,中兴,2301.5,3189,3523,中兴手机专卖店,0,https://www.douyin.com/product/9000021
抖音,vivo手机W22,vivo,2751.9,3299,3109,vivo手机专卖店,1,https://www.douyin.com/product/9000022
抖音,红米5G 手机PH-1023SE,红米,954.1,1709,15394,红米官方旗舰店,1,https://www.douyin.com/product/9000023
抖音,iQOO手机Series 5,iQOO,1981.6,2919,4403,iQOO手机专卖店,1,https://www.douyin.com/product/9000024
抖音,三星手机Series 61024GB,三星,1115.3,1689,8080,三星手机专营店,1,https://www.douyin.com/product/9000025
抖音,努比亚手机Series 7(A16),努比亚,2508.7,3229,9206,努比亚京东自营旗舰店,0,https://www.douyin.com/product/9000026
抖音,华为手机PH-1027,华为,5598.0,7609,1062,华为手机专卖店,0,https://www.douyin.com/product/9000027
抖音,谷歌手机P-1028(麒麟9000),谷歌,4444.0,6099,5091,谷歌官方旗舰店,1,https://www.douyin.com/product/9000028
抖音,谷歌256GB手机D29,谷歌,2225.4,3859,9262,谷歌手机专卖店,0,https://www.douyin.com/product/9000029
抖音,联想手机E30S,联想,786.8,1199,11992,联想手机专卖店,0,https://www.douyin.com/product/9000030
抖音,魅族粉色P-1031手机,魅族,2482.0,4079,6204,魅族官方旗舰店,1,https://www.douyin.com/product/9000031
抖音,荣耀折叠屏 手机PH-1032(256GB),荣耀,883.8,1179,3044,荣耀京东自营旗舰店,0,https://www.douyin.com/product/9000032
抖音,华硕手机P-1033快充版(麒麟9000),华硕,5149.2,7559,1619,华硕手机专卖店,0,https://www.douyin.com/product/9000033
抖音,联想手机I34(A16),联想,1397.1,1659,4141,联想京东自营旗舰店,1,https://www.douyin.com/product/9000034
抖音,红米手机Series 16(A16),红米,851.7,1389,26022,红米官方旗舰店,1,https://www.douyin.com/product/9000035
抖音,Nothing手机Series 17(骁龙8Gen3),Nothing,3638.5,4079,7674,Nothing官方旗舰店,1,https://www.douyin.com/product/9000036
抖音,华硕手机Series 18Ultra,华硕,3879.4,5099,9332,华硕京东自营旗舰店,0,https://www.douyin.com/product/9000037
抖音,Nothing手机M38(Exynos2400),Nothing,3116.8,5649,7652,Nothing京东自营旗舰店,0,https://www.douyin.com/product/9000038
抖音,摩托罗拉128GB手机PH-1039,摩托罗拉,1952.4,3579,2270,摩托罗拉官方旗舰店,1,https://www.douyin.com/product/9000039
抖音,努比亚手机O40,努比亚,1152.6,1809,14175,努比亚官方旗舰店,1,https://www.douyin.com/product/9000040
抖音,一加128GB手机PH-1041,一加,1563.7,2239,16775,一加手机专卖店,0,https://www.douyin.com/product/9000041
抖音,Nothing手机P-1042SE,Nothing,1637.0,2439,7970,Nothing京东自营旗舰店,0,https://www.douyin.com/product/9000042
抖音,ROG手机Series 4(天玑9200),ROG,5319.6,6419,2516,ROG京东自营旗舰店,0,https://www.douyin.com/product/9000043
抖音,Apple5G 手机S44,Apple,3545.8,6429,15429,Apple产品专营店,0,https://www.douyin.com/product/9000044
抖音,Apple金色PH-1045S手机,Apple,7774.6,11339,10080,Apple产品京东自营旗舰店,1,https://www.douyin.com/product/9000045
抖音,三星手机U46(骁龙8Gen3),三星,5362.4,9329,10466,三星手机专营店,0,https://www.douyin.com/product/9000046
抖音,华硕手机Series 8(天玑9300),华硕,3755.8,5839,3630,华硕京东自营旗舰店,0,https://www.douyin.com/product/9000047
抖音,谷歌5G 手机W48SE,谷歌,1914.9,2849,10972,谷歌手机专卖店,0,https://www.douyin.com/product/9000048
抖音,红米5G 手机P-1049(128GB),红米,1740.5,3169,11676,红米官方旗舰店,1,https://www.douyin.com/product/9000049
抖音,努比亚手机P-1050Ultra,努比亚,1515.5,2639,5855,努比亚京东自营旗舰店,0,https://www.douyin.com/product/9000050
抖音,三星手机P-1051青春版,三星,6457.1,10379,7426,三星京东自营旗舰店,0,https://www.douyin.com/product/9000051
抖音,谷歌128GB手机PH-1052,谷歌,4813.1,7859,10332,谷歌官方旗舰店,1,https://www.douyin.com/product/9000052
抖音,华硕曲面屏 手机PH-1053Ultra,华硕,1348.4,2289,11818,华硕京东自营旗舰店,0,https://www.douyin.com/product/9000053
抖音,华硕1024GB手机C54,华硕,2469.3,3609,3476,华硕手机专卖店,0,https://www.douyin.com/product/9000054
抖音,iQOO蓝色Series 16手机,iQOO,3172.0,6069,4411,iQOO官方旗舰店,1,https://www.douyin.com/product/9000055
抖音,一加128GB手机Series 17,一加,2100.8,2669,8671,一加京东自营旗舰店,0,https://www.douyin.com/product/9000056
抖音,vivo手机Series 18,vivo,2387.6,2809,9145,vivo手机专卖店,0,https://www.douyin.com/product/9000057
抖音,华为手机Series 19Plus(骁龙8Gen2),华为,1323.2,1589,11087,华为手机专卖店,1,https://www.douyin.com/product/9000058
抖音,ROG手机Series 20快充版(骁龙8Gen2),ROG,5018.6,6349,7357,ROG手机专卖店,0,https://www.douyin.com/product/9000059
抖音,华硕快充 手机I60(128GB),华硕,4268.3,5409,498,华硕京东自营旗舰店,0,https://www.douyin.com/product/9000060
抖音,谷歌手机Series 2精英版(Exynos2400),谷歌,4392.3,7439,504,谷歌京东自营旗舰店,1,https://www.douyin.com/product/9000061
抖音,谷歌手机PH-1062256GB,谷歌,5812.9,9789,587,谷歌京东自营旗舰店,0,https://www.douyin.com/product/9000062
抖音,魅族手机P-1063快充版(Exynos2400),魅族,1680.3,3309,697,魅族官方旗舰店,1,https://www.douyin.com/product/9000063
抖音,索尼紫色M642024款手机,索尼,6707.6,10979,10124,索尼手机专卖店,0,https://www.douyin.com/product/9000064
抖音,Nothing手机Series 6128GB,Nothing,2218.3,2569,10162,Nothing京东自营旗舰店,0,https://www.douyin.com/product/9000065
抖音,华硕手机O66S(天玑9200),华硕,2139.2,3019,11081,华硕手机专卖店,0,https://www.douyin.com/product/9000066
抖音,vivo手机PH-1067,vivo,2920.2,5309,6684,vivo京东自营旗舰店,0,https://www.douyin.com/product/9000067
抖音,iQOO绿色P-1068手机,iQOO,995.6,1139,9086,iQOO京东自营旗舰店,0,https://www.douyin.com/product/9000068
抖音,小米手机P-1069快充版(骁龙8Gen3),小米,1603.0,2469,1474,小米专卖店,1,https://www.douyin.com/product/9000069
抖音,谷歌128GB手机PH-1070,谷歌,5505.2,9929,9870,谷歌京东自营旗舰店,0,https://www.douyin.com/product/9000070
抖音,努比亚手机Series 12精英版,努比亚,1365.4,2129,9059,努比亚京东自营旗舰店,0,https://www.douyin.com/product/9000071
抖音,OPPO手机P-1072(A16),OPPO,1813.8,2139,6912,OPPO京东自营旗舰店,1,https://www.douyin.com/product/9000072
抖音,联想绿色P-1073青春版手机,联想,3318.1,5199,3646,联想京东自营旗舰店,1,https://www.douyin.com/product/9000073
抖音,努比亚512GB手机W74,努比亚,3367.7,5649,3537,努比亚手机专卖店,0,https://www.douyin.com/product/9000074
抖音,三星渐变色X752024款手机,三星,6317.7,8549,7167,三星手机专营店,0,https://www.douyin.com/product/9000075
抖音,小米灰色P-1076手机,小米,2012.9,2769,6887,小米官方旗舰店,1,https://www.douyin.com/product/9000076
抖音,联想灰色Series 18标准版手机,联想,1182.0,1329,19491,联想京东自营旗舰店,0,https://www.douyin.com/product/9000077
抖音,Realme手机P-1078快充版(Exynos2400),Realme,2276.7,3429,6913,Realme手机专卖店,0,https://www.douyin.com/product/9000078
抖音,索尼手机P-1079标准版,索尼,5225.3,7089,8950,索尼手机专卖店,0,https://www.douyin.com/product/9000079
抖音,Realme1024GB手机PH-1080,Realme,2355.2,2729,6195,Realme手机专卖店,0,https://www.douyin.com/product/9000080
抖音,华硕手机P-1081,华硕,5407.2,9049,1710,华硕官方旗舰店,1,https://www.douyin.com/product/9000081
抖音,魅族手机PH-10822024款,魅族,1759.3,3119,8666,魅族手机专卖店,0,https://www.douyin.com/product/9000082
抖音,魅族手机PH-1083(天玑9300),魅族,1807.5,2469,46424,魅族京东自营旗舰店,0,https://www.douyin.com/product/9000083
抖音,ROG256GB手机P-1084,ROG,4387.7,6619,7325,ROG官方旗舰店,1,https://www.douyin.com/product/9000084
抖音,一加金色H852025款手机,一加,2783.4,4629,9652,一加京东自营旗舰店,0,https://www.douyin.com/product/9000085
抖音,小米手机PH-1086快充版(TensorG3),小米,2519.5,4579,912,小米专卖店,0,https://www.douyin.com/product/9000086
抖音,Apple灰色Series 8手机,Apple,2914.8,5559,6410,Apple产品专营店,0,https://www.douyin.com/product/9000087
抖音,摩托罗拉快充 手机PH-1088X,摩托罗拉,2299.6,4469,1556,摩托罗拉官方旗舰店,1,https://www.douyin.com/product/9000088
抖音,中兴手机P-1089快充版(A17Pro),中兴,1015.2,1359,18084,中兴官方旗舰店,1,https://www.douyin.com/product/9000089
抖音,联想黑色P-1090Pro手机,联想,2404.2,4689,7805,联想手机专卖店,0,https://www.douyin.com/product/9000090
抖音,OPPO粉色PH-1091青春版手机,OPPO,2242.0,2529,3540,OPPO手机专卖店,0,https://www.douyin.com/product/9000091
抖音,小米手机O92(1024GB),小米,1613.8,2319,11295,小米官方旗舰店,1,https://www.douyin.com/product/9000092
抖音,Apple手机Series 14快充版(A17Pro),Apple,3275.3,6329,2045,Apple产品专营店,0,https://www.douyin.com/product/9000093
抖音,三星手机Series 15512GB,三星,6432.9,11279,10622,三星官方旗舰店,1,https://www.douyin.com/product/9000094
抖音,努比亚1024GB手机PH-1095,努比亚,2480.3,2769,9706,努比亚京东自营旗舰店,0,https://www.douyin.com/product/9000095
抖音,一加快充 手机S96,一加,3405.0,3989,8377,一加官方旗舰店,1,https://www.douyin.com/product/9000096
抖音,iQOO黑色Series 18手机,iQOO,666.6,1299,18622,iQOO京东自营旗舰店,0,https://www.douyin.com/product/9000097
抖音,ROG手机P-1098精英版,ROG,6213.0,9599,5517,ROG官方旗舰店,1,https://www.douyin.com/product/9000098
抖音,三星手机PH-10992025款(骁龙8Gen2),三星,7228.3,12399,9557,三星手机专营店,0,https://www.douyin.com/product/9000099
抖音,Realme1024GB手机PH-1100,Realme,713.7,1229,2390,Realme手机专卖店,0,https://www.douyin.com/product/9000100
抖音,索尼快充 手机Series 2(1024GB),索尼,6323.7,8519,3261,索尼手机专卖店,0,https://www.douyin.com/product/9000101
抖音,一加手机P-1102,一加,1459.4,2359,12569,一加官方旗舰店,1,https://www.douyin.com/product/9000102
抖音,中兴绿色PH-1103手机,中兴,2016.7,3299,10758,中兴官方旗舰店,1,https://www.douyin.com/product/9000103
抖音,ROG手机PH-1104(骁龙8Gen2),ROG,4959.8,5889,7598,ROG官方旗舰店,1,https://www.douyin.com/product/9000104
抖音,Nothing快充 手机PH-1105(128GB),Nothing,1474.3,1699,8225,Nothing官方旗舰店,1,https://www.douyin.com/product/9000105
抖音,红米金色PH-1106Ultra手机,红米,1303.6,1969,5938,红米官方旗舰店,1,https://www.douyin.com/product/9000106
抖音,Nothing手机D107快充版(A17Pro),Nothing,3325.3,6369,5391,Nothing官方旗舰店,1,https://www.douyin.com/product/9000107
