平台名称,商品标题,品牌,价格,原价,销量,店铺名称,是否官方旗舰店,商品链接
淘宝,索尼紫色Series 1手机,索尼,2871.7,4709,3007,索尼京东自营旗舰店,1,https://item.taobao.com/item.htm?id=5000000
淘宝,Realme粉色P-1001手机,Realme,2965.5,5719,3360,Realme手机专卖店,0,https://item.taobao.com/item.htm?id=5000001
淘宝,努比亚手机Series 31024GB,努比亚,2253.9,3639,1161,努比亚京东自营旗舰店,1,https://item.taobao.com/item.htm?id=5000002
淘宝,Realme曲面屏 手机P-1003(512GB),Realme,1915.2,2109,4232,Realme京东自营旗舰店,1,https://item.taobao.com/item.htm?id=5000003
淘宝,OPPO手机Series 5,OPPO,2471.8,2889,2050,OPPO京东自营旗舰店,0,https://item.taobao.com/item.htm?id=5000004
淘宝,摩托罗拉手机P-1005精英版(A16),摩托罗拉,2927.5,4059,703,摩托罗拉手机专卖店,0,https://item.taobao.com/item.htm?id=5000005
淘宝,vivo手机P-10062025款,vivo,2861.5,5709,3392,vivo官方旗舰店,1,https://item.taobao.com/item.htm?id=5000006
淘宝,Apple绿色Series 8手机,Apple,10282.4,12869,1266,Apple产品专营店,1,https://item.taobao.com/item.htm?id=5000007
淘宝,中兴手机I8512GB,中兴,3226.5,6369,3139,中兴手机专卖店,0,https://item.taobao.com/item.htm?id=5000008
淘宝,红米手机PH-1009SE,红米,516.3,969,4878,红米京东自营旗舰店,0,https://item.taobao.com/item.htm?id=5000009
淘宝,Nothing手机PH-1010Plus,Nothing,3738.2,6489,1930,Nothing京东自营旗舰店,0,https://item.taobao.com/item.htm?id=5000010
淘宝,谷歌手机PH-1011(A17Pro),谷歌,7516.7,11929,4570,谷歌手机专卖店,0,https://item.taobao.com/item.htm?id=5000011
淘宝,Nothing手机P-1012S,Nothing,3320.7,5449,1491,Nothing官方旗舰店,1,https://item.taobao.com/item.htm?id=5000012
淘宝,三星折叠屏 手机Series 14Pro,三星,5427.4,9199,1295,三星京东自营旗舰店,0,https://item.taobao.com/item.htm?id=5000013
淘宝,Apple白色O14手机,Apple,3339.4,5939,1833,Apple产品专营店,1,https://item.taobao.com/item.htm?id=5000014
淘宝,Nothing手机Series 16(天玑9200),Nothing,4843.4,8329,2634,Nothing手机专卖店,1,https://item.taobao.com/item.htm?id=5000015
淘宝,一加5G 手机P-1016(256GB),一加,1460.9,2859,5685,一加官方旗舰店,1,https://item.taobao.com/item.htm?id=5000016
淘宝,谷歌紫色PH-10172025款手机,谷歌,5153.6,6359,3876,谷歌官方旗舰店,1,https://item.taobao.com/item.htm?id=5000017
